Year,Planet
1703,Moon
1704,Moon
1705,Moon
1706,Moon
1707,Moon
1708,Moon
1709,Moon
1710,Moon
1711,Moon
1712,Moon
1713,Moon
1714,Moon
1715,Moon
1716,Moon
1717,Moon
1718,Moon
1719,Moon
1720,Moon
1721,Moon
1722,Moon
1723,Moon
1724,Moon
1725,Moon
1726,Moon
1727,Moon
1728,Moon
1729,Sun
1730,Sun
1731,Sun
1732,Sun
1733,Sun
1734,Sun
1735,Sun
1736,Sun
1737,Sun
1738,Sun
1739,Sun
1740,Sun
1741,Sun
1742,Sun
1743,Sun
1744,Sun
1745,Sun
1746,Sun
1747,Sun
1748,Sun
1749,Sun
1750,Sun
1751,Sun
1752,Sun
1753,Sun
1754,Sun
1755,Sun
1756,Sun
1757,Sun
1758,Sun
1759,Sun
1760,Sun
1761,Sun
1762,Sun
1763,Sun
1764,Sun
1765,Saturn
1766,Saturn
1767,Saturn
1768,Saturn
1769,Saturn
1770,Saturn
1771,Saturn
1772,Saturn
1773,Saturn
1774,Saturn
1775,Saturn
1776,Saturn
1777,Saturn
1778,Saturn
1779,Saturn
1780,Saturn
1781,Saturn
1782,Saturn
1783,Saturn
1784,Saturn
1785,Saturn
1786,Saturn
1787,Saturn
1788,Saturn
1789,Saturn
1790,Saturn
1791,Saturn
1792,Saturn
1793,Saturn
1794,Saturn
1795,Saturn
1796,Saturn
1797,Saturn
1798,Saturn
1799,Saturn
1800,Saturn
1801,Venus
1802,Venus
1803,Venus
1804,Venus
1805,Venus
1806,Venus
1807,Venus
1808,Venus
1809,Venus
1810,Venus
1811,Venus
1812,Venus
1813,Venus
1814,Venus
1815,Venus
1816,Venus
1817,Venus
1818,Venus
1819,Venus
1820,Venus
1821,Venus
1822,Venus
1823,Venus
1824,Venus
1825,Venus
1826,Venus
1827,Venus
1828,Venus
1829,Venus
1830,Venus
1831,Venus
1832,Venus
1833,Venus
1834,Venus
1835,Venus
1836,Venus
1837,Jupiter
1838,Jupiter
1839,Jupiter
1840,Jupiter
1841,Jupiter
1842,Jupiter
1843,Jupiter
1844,Jupiter
1845,Jupiter
1846,Jupiter
1847,Jupiter
1848,Jupiter
1849,Jupiter
1850,Jupiter
1851,Jupiter
1852,Jupiter
1853,Jupiter
1854,Jupiter
1855,Jupiter
1856,Jupiter
1857,Jupiter
1858,Jupiter
1859,Jupiter
1860,Jupiter
1861,Jupiter
1862,Jupiter
1863,Jupiter
1864,Jupiter
1865,Jupiter
1866,Jupiter
1867,Jupiter
1868,Jupiter
1869,Jupiter
1870,Jupiter
1871,Jupiter
1872,Jupiter
1873,Mercury
1874,Mercury
1875,Mercury
1876,Mercury
1877,Mercury
1878,Mercury
1879,Mercury
1880,Mercury
